Quadrant ID,North,South,West,East
Q1A,28.19,28.1755,-82.83,-82.8155
Q1B,28.19,28.1755,-82.8155,-82.801
Q1C,28.19,28.1755,-82.801,-82.7865
Q1D,28.19,28.1755,-82.7865,-82.772
Q1E,28.19,28.1755,-82.77199999999999,-82.7575
Q1F,28.19,28.1755,-82.7575,-82.743
Q1G,28.19,28.1755,-82.743,-82.7285
Q1H,28.19,28.1755,-82.7285,-82.714
Q1I,28.19,28.1755,-82.714,-82.6995
Q1J,28.19,28.1755,-82.6995,-82.685
Q1K,28.19,28.1755,-82.685,-82.6705
Q1L,28.19,28.1755,-82.6705,-82.656
Q1M,28.19,28.1755,-82.65599999999999,-82.6415
Q1N,28.19,28.1755,-82.6415,-82.627
Q1O,28.19,28.1755,-82.627,-82.6125
Q1P,28.19,28.1755,-82.6125,-82.598
Q1Q,28.19,28.1755,-82.598,-82.5835
Q1R,28.19,28.1755,-82.5835,-82.569
Q1S,28.19,28.1755,-82.569,-82.5545
Q1T,28.19,28.1755,-82.5545,-82.54
Q1U,28.19,28.1755,-82.53999999999999,-82.5255
Q1V,28.19,28.1755,-82.5255,-82.511
Q1W,28.19,28.1755,-82.511,-82.4965
Q1X,28.19,28.1755,-82.4965,-82.482
Q1Y,28.19,28.1755,-82.482,-82.4675
Q1Z,28.19,28.1755,-82.4675,-82.453
Q1[,28.19,28.1755,-82.453,-82.4385
Q1\,28.19,28.1755,-82.4385,-82.424
Q1],28.19,28.1755,-82.42399999999999,-82.4095
Q1^,28.19,28.1755,-82.4095,-82.395
Q1_,28.19,28.1755,-82.395,-82.3805
Q1`,28.19,28.1755,-82.3805,-82.366
Q1a,28.19,28.1755,-82.366,-82.3515
Q1b,28.19,28.1755,-82.3515,-82.337
Q1c,28.19,28.1755,-82.337,-82.3225
Q1d,28.19,28.1755,-82.3225,-82.308
Q1e,28.19,28.1755,-82.30799999999999,-82.2935
Q1f,28.19,28.1755,-82.2935,-82.279
Q1g,28.19,28.1755,-82.279,-82.2645
Q1h,28.19,28.1755,-82.2645,-82.25
Q1i,28.19,28.1755,-82.25,-82.2355
Q1j,28.19,28.1755,-82.2355,-82.221
Q1k,28.19,28.1755,-82.221,-82.2065
Q2A,28.1755,28.160999999999998,-82.83,-82.8155
Q2B,28.1755,28.160999999999998,-82.8155,-82.801
Q2C,28.1755,28.160999999999998,-82.801,-82.7865
Q2D,28.1755,28.160999999999998,-82.7865,-82.772
Q2E,28.1755,28.160999999999998,-82.77199999999999,-82.7575
Q2F,28.1755,28.160999999999998,-82.7575,-82.743
Q2G,28.1755,28.160999999999998,-82.743,-82.7285
Q2H,28.1755,28.160999999999998,-82.7285,-82.714
Q2I,28.1755,28.160999999999998,-82.714,-82.6995
Q2J,28.1755,28.160999999999998,-82.6995,-82.685
Q2K,28.1755,28.160999999999998,-82.685,-82.6705
Q2L,28.1755,28.160999999999998,-82.6705,-82.656
Q2M,28.1755,28.160999999999998,-82.65599999999999,-82.6415
Q2N,28.1755,28.160999999999998,-82.6415,-82.627
Q2O,28.1755,28.160999999999998,-82.627,-82.6125
Q2P,28.1755,28.160999999999998,-82.6125,-82.598
Q2Q,28.1755,28.160999999999998,-82.598,-82.5835
